,month,Biodiversity Park,Chacha Nehru Park,Imlibun Park,Jalagam Vengal Rao Park,Krishnakanth Park,Lumbini Park,Mahavir Harina Vanasthali National Park,Melkote Park,Public Garden Park,Rural Technology Park,Sanjeevaiah Park,Saroor Nagar Park,Sundarayya Park,lake view park
0,1,303.0,303.0,303.0,303.0,303.0,303.0,303.0,303.0,303.0,303.0,303.0,303.0,303.0,303.0
1,2,306.5,304.5,306.0,304.0,305.5,303.0,307.0,305.0,305.5,306.0,301.5,303.0,305.0,304.5
2,3,310.0,308.0,309.0,307.5,308.5,306.0,309.0,308.5,308.5,309.0,305.5,306.5,308.5,307.0
3,4,309.0,309.0,310.5,308.0,309.5,308.0,310.5,310.5,310.0,309.0,306.5,307.5,309.5,309.5
4,5,309.5,307.5,310.5,307.5,308.5,309.5,311.5,312.0,309.0,308.5,307.0,309.5,310.5,308.5
5,6,303.0,303.0,303.0,302.0,304.0,303.0,301.5,303.0,303.0,303.0,303.0,303.0,303.0,303.0
6,8,300.5,303.0,304.0,300.0,302.0,300.5,299.5,303.5,299.5,295.0,299.5,299.5,304.5,298.0
7,10,305.0,304.0,305.0,304.0,305.0,303.0,302.0,305.0,305.0,302.0,301.0,303.0,305.0,304.0
8,11,303.0,300.0,304.0,299.0,302.0,303.0,303.0,303.0,302.0,302.0,298.0,304.0,303.0,300.0
9,12,304.0,302.5,303.0,302.0,303.0,301.0,301.5,302.0,302.0,302.0,299.5,302.5,302.0,302.5
