system:index,Biodiversity Park,Chacha Nehru Park,Imlibun Park,Jalagam Vengal Rao Park,Krishnakanth Park,Lumbini Park,Mahavir Harina Vanasthali National Park,Melkote Park,Public Garden Park,Rural Technology Park,Sanjeevaiah Park,Saroor Nagar Park,Sundarayya Park,date,lake view park,.geo
LC08_144048_20200111_0000000000000000000b,0.132,0.202,0.189,0.198,0.219,0.133,0.186,0.165,0.197,0.181,0.225,0.143,0.193,20200111,0.118,"{""type"":""Polygon"",""coordinates"":[[[78.47651313231061,17.4355310337901],[78.47663800582332,17.435513160779667],[78.47662014198296,17.435415071125348],[78.47677623368624,17.43539279635678],[78.47678958818753,17.435482002605468],[78.47682973839844,17.435477499406925],[78.4768476022021,17.4355845652312],[78.47653099616971,17.435633567094282],[78.47651313231061,17.4355310337901]]]}"
LC08_144048_20200127_0000000000000000000b,0.124,0.210,0.198,0.250,0.215,0.133,0.156,0.196,0.179,0.163,0.238,0.187,0.210,20200127,0.111,"{""type"":""Polygon"",""coordinates"":[[[78.47651313231061,17.4355310337901],[78.47663800582332,17.435513160779667],[78.47662014198296,17.435415071125348],[78.47677623368624,17.43539279635678],[78.47678958818753,17.435482002605468],[78.47682973839844,17.435477499406925],[78.4768476022021,17.4355845652312],[78.47653099616971,17.435633567094282],[78.47651313231061,17.4355310337901]]]}"
LC08_144048_20200212_0000000000000000000b,0.097,0.156,0.105,0.110,0.221,0.106,0.103,0.084,0.182,0.169,0.201,0.150,0.201,20200212,0.113,"{""type"":""Polygon"",""coordinates"":[[[78.47651313231061,17.4355310337901],[78.47663800582332,17.435513160779667],[78.47662014198296,17.435415071125348],[78.47677623368624,17.43539279635678],[78.47678958818753,17.435482002605468],[78.47682973839844,17.435477499406925],[78.4768476022021,17.4355845652312],[78.47653099616971,17.435633567094282],[78.47651313231061,17.4355310337901]]]}"
LC08_144048_20200228_0000000000000000000b,0.109,0.194,0.211,0.288,0.204,0.133,0.130,0.173,0.178,0.145,0.230,0.193,0.201,20200228,0.114,"{""type"":""Polygon"",""coordinates"":[[[78.47651313231061,17.4355310337901],[78.47663800582332,17.435513160779667],[78.47662014198296,17.435415071125348],[78.47677623368624,17.43539279635678],[78.47678958818753,17.435482002605468],[78.47682973839844,17.435477499406925],[78.4768476022021,17.4355845652312],[78.47653099616971,17.435633567094282],[78.47651313231061,17.4355310337901]]]}"
LC08_144048_20200315_0000000000000000000b,0.123,0.210,0.234,0.296,0.218,0.143,0.130,0.180,0.203,0.173,0.254,0.211,0.215,20200315,0.134,"{""type"":""Polygon"",""coordinates"":[[[78.47651313231061,17.4355310337901],[78.47663800582332,17.435513160779667],[78.47662014198296,17.435415071125348],[78.47677623368624,17.43539279635678],[78.47678958818753,17.435482002605468],[78.47682973839844,17.435477499406925],[78.4768476022021,17.4355845652312],[78.47653099616971,17.435633567094282],[78.47651313231061,17.4355310337901]]]}"
LC08_144048_20200331_0000000000000000000b,0.129,0.214,0.229,0.294,0.223,0.158,0.137,0.181,0.206,0.178,0.241,0.211,0.199,20200331,0.150,"{""type"":""Polygon"",""coordinates"":[[[78.47651313231061,17.4355310337901],[78.47663800582332,17.435513160779667],[78.47662014198296,17.435415071125348],[78.47677623368624,17.43539279635678],[78.47678958818753,17.435482002605468],[78.47682973839844,17.435477499406925],[78.4768476022021,17.4355845652312],[78.47653099616971,17.435633567094282],[78.47651313231061,17.4355310337901]]]}"
LC08_144048_20200416_0000000000000000000b,0.123,0.211,0.209,0.302,0.215,0.155,0.130,0.179,0.196,0.168,0.237,0.185,0.187,20200416,0.138,"{""type"":""Polygon"",""coordinates"":[[[78.47651313231061,17.4355310337901],[78.47663800582332,17.435513160779667],[78.47662014198296,17.435415071125348],[78.47677623368624,17.43539279635678],[78.47678958818753,17.435482002605468],[78.47682973839844,17.435477499406925],[78.4768476022021,17.4355845652312],[78.47653099616971,17.435633567094282],[78.47651313231061,17.4355310337901]]]}"
LC08_144048_20200502_0000000000000000000b,0.127,0.220,0.230,0.319,0.203,0.151,0.139,0.192,0.210,0.180,0.253,0.218,0.223,20200502,0.152,"{""type"":""Polygon"",""coordinates"":[[[78.47651313231061,17.4355310337901],[78.47663800582332,17.435513160779667],[78.47662014198296,17.435415071125348],[78.47677623368624,17.43539279635678],[78.47678958818753,17.435482002605468],[78.47682973839844,17.435477499406925],[78.4768476022021,17.4355845652312],[78.47653099616971,17.435633567094282],[78.47651313231061,17.4355310337901]]]}"
LC08_144048_20200518_0000000000000000000b,0.127,0.201,0.174,0.291,0.222,0.152,0.129,0.165,0.189,0.160,0.247,0.144,0.206,20200518,0.185,"{""type"":""Polygon"",""coordinates"":[[[78.47651313231061,17.4355310337901],[78.47663800582332,17.435513160779667],[78.47662014198296,17.435415071125348],[78.47677623368624,17.43539279635678],[78.47678958818753,17.435482002605468],[78.47682973839844,17.435477499406925],[78.4768476022021,17.4355845652312],[78.47653099616971,17.435633567094282],[78.47651313231061,17.4355310337901]]]}"
LC08_144048_20200603_0000000000000000000b,0.161,0.136,0.146,0.148,0.124,0.123,0.148,0.111,0.134,0.179,0.140,0.148,0.122,20200603,0.141,"{""type"":""Polygon"",""coordinates"":[[[78.47651313231061,17.4355310337901],[78.47663800582332,17.435513160779667],[78.47662014198296,17.435415071125348],[78.47677623368624,17.43539279635678],[78.47678958818753,17.435482002605468],[78.47682973839844,17.435477499406925],[78.4768476022021,17.4355845652312],[78.47653099616971,17.435633567094282],[78.47651313231061,17.4355310337901]]]}"
