,month,Biodiversity Park,Chacha Nehru Park,Imlibun Park,Jalagam Vengal Rao Park,Krishnakanth Park,Lumbini Park,Mahavir Harina Vanasthali National Park,Melkote Park,Public Garden Park,Rural Technology Park,Sanjeevaiah Park,Saroor Nagar Park,Sundarayya Park,lake view park
0,1,0.07100000000000001,0.1005,0.129,0.1185,0.1255,0.07150000000000001,0.1325,0.082,0.10450000000000001,0.1355,0.123,0.0785,0.1125,0.1
1,2,0.078,0.11,0.14450000000000002,0.14,0.133,0.08549999999999999,0.12,0.0925,0.116,0.14100000000000001,0.1385,0.086,0.135,0.1095
2,3,0.072,0.121,0.1545,0.1535,0.132,0.1015,0.123,0.1045,0.1215,0.136,0.153,0.08249999999999999,0.1625,0.1305
3,4,0.092,0.12,0.14850000000000002,0.1435,0.129,0.109,0.14300000000000002,0.10350000000000001,0.122,0.129,0.14550000000000002,0.10450000000000001,0.1485,0.1245
4,5,0.085,0.118,0.137,0.139,0.136,0.077,0.143,0.101,0.113,0.153,0.11,0.089,0.128,0.093
5,6,0.082,0.115,0.11850000000000001,0.14350000000000002,0.10200000000000001,0.1005,0.15999999999999998,0.1095,0.098,0.08049999999999999,0.157,0.112,0.1575,0.11
6,8,0.044,0.183,0.062,0.199,0.154,0.142,0.231,0.144,0.127,0.093,0.19,0.156,0.208,0.132
7,9,0.0925,0.1175,0.1315,0.129,0.131,0.10500000000000001,0.1795,0.121,0.1125,0.19849999999999998,0.10799999999999998,0.096,0.1265,0.1125
8,10,0.1215,0.1295,0.14750000000000002,0.14450000000000002,0.14850000000000002,0.1155,0.1835,0.1155,0.14700000000000002,0.212,0.135,0.1,0.146,0.129
9,11,0.14350000000000002,0.1515,0.1585,0.1815,0.16549999999999998,0.10200000000000001,0.28049999999999997,0.121,0.1525,0.26049999999999995,0.135,0.11449999999999999,0.1595,0.14450000000000002
10,12,0.092,0.114,0.1345,0.1565,0.1295,0.0815,0.19,0.1065,0.134,0.1835,0.10450000000000001,0.066,0.14300000000000002,0.11
